gid;nom;arrete_pref_numero;xy_precis;id_adr;adr_num;adr_voie;com_cp;com_insee;com_nom;lat_coor1;long_coor1;structure_siren;structure_type;structure_rais;structure_num;structure_voie;structure_cp;structure_insee;structure_com;_userid_creation;_userid_modification;_edit_datemaj;lieu_accessibilite;rdv_lundi;rdv_mardi;rdv_mercredi;rdv_jeudi;rdv_vendredi;rdv_samedi;rdv_dimanche;rdv;date_fermeture;date_ouverture;rdv_site_web;rdv_tel;rdv_tel2;rdv_modalites;rdv_consultation_prevaccination;centre_svi_repondeur;centre_fermeture;reserve_professionels_sante;centre_type
2727;Centre de vaccination - Parc d'activité Saint-Ouen-l’Aumône;;1;95572_0225_00019;19;Avenue de l’Eguillette;95310;95572;Saint-Ouen-l'Aumône;49.0532;2.133;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;DU LANDY RUE;93200;93066;SAINT-DENIS;20396;20396;2021-07-08 10:40:29.167931;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;f;2021-07-13;2021-07-12;;;;sans Rendez-vous;;;t;;
55;Plateau de consultations du service de maladies infectieuses - ANGERS -professionnels de santé extérieurs au CHU;;0.99999790956368;49007_4660_00004;4;Rue Larrey;49100;49007;Angers;47.4816;-0.554632;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;362;10695;2021-06-06 20:00:01.707365;;8h45-16h00;8h45-16h00;8h45-16h00;8h45-16h00;8h45-16h00;8h45-16h00;8h45-16h00;t;;2021-01-04;https://partners.doctolib.fr/hopital-public/angers/chu-d-angers-centre-de-vaccination-reserve-aux-professionnels-de-sante-de-l-etablissement?speciality_id=5494&enable_cookies_consent=1;;;réservé aux professionnels de santé libéraux;f;;t;;{}
2660;SDIS;;1;43157_1027_00005;5;Rue Hippolyte Malegue;43000;43157;Le Puy-en-Velay;45.0142;3.90514;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;3486;8141;2021-06-03 15:23:07.649766;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;f;;2021-05-22;;;;;f;f;t;f;"{""Equipe mobile""}"
2531;UHSI Lille;;0.99999434453386;59350_6513_00005;5;Avenue Oscar Lambret;59000;59350;Lille;50.61;3.03764;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;21506;21506;2021-05-05 13:32:34.933811;590780193;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;;;;;;;;t;;{UHSI}
406;centre de vaccination CH EMBRUN;;0.99999554106431;05046_0109_00523;8;rue Pierre et Marie Curie;05200;05046;Embrun;44.561;6.49239;130007982;8412Z;AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR;132;BD DE PARIS;13003;13203;MARSEILLE 3;10366;18977;2021-11-10 09:25:34.199386;;9h-13h et 14h-17h;9h-13h et 14h-17h;9h-13h et 14h-17h;9h-13h et 14h-17h;9h-13h et 14h-17h;9h-13h et 14h-17h;fermé;t;;2021-01-11;https://partners.doctolib.fr/hopital-public/embrun/ch-embrun-centre-de-vaccination-covid-19?speciality_id=5494&enable_cookies_consent=1;04 92 43 75 49;;;;;f;;
121;Communauté Professionnelle Territoriale de Santé Nord Allier;830-2021;0.99999960414933;03190_0700_00019;1;PLACE MARECHAL DE LATTRE DE TASSIGNY;03000;03190;Moulins;46.5622;3.33256;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;41;18261;2021-11-15 17:00:09.419749;;fermé;ferme;fermé;fermé;fermé ;fermé;fermé;t;2021-11-14;2021-01-11;https://partners.doctolib.fr/centre-de-sante/moulins/cpts-nord-allier-centre-de-vaccination?speciality_id=5494&enable_cookies_consent=1;+33470485000;;;t;;f;;
440;Centre de Vaccination - MAYENNE - Salle polyvalente;;0.99999776407456;53147_1810_00329;;Rue Volney;53100;53147;Mayenne;48.2969;-0.611258;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;362;10695;2021-07-20 20:00:02.165726;;9h-17h ;9h-17h ;9h-17h ;9h-17h ;9h-17h ;fermé;fermé;t;;2021-01-18;https://partners.doctolib.fr/maison-de-sante/mayenne/pole-de-sante-de-mayenne-centre-de-vaccination?pid=practice-181021&enable_cookies_consent=1;+33243535300;;;t;;f;;
345;Centre de vaccination - CH Calais, Salle polyvalente de l’EHPAD la Roselière, ;;0.99998821290998;62193_2563_01601;1601;Boulevard des Justes;62100;62193;Calais;50.9398;1.89115;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;101;101;2021-07-08 11:27:57.79057;;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;09:00-13:00;fermé;t;2021-07-06;2021-01-13;https://partners.doctolib.fr/vaccination-covid-19/calais/ght-cote-d-opale-vaccination-covid-ch-calais-ehpad-la-roseliere?pid=practice-163842&enable_cookies_consent=1;03 92 04 34 71 ;;;;;f;;
1002;Ancienne école Jean Giraudoux - Le Blanc;;0.99999991716901;36018_0870_00022;;Rue Georges Sand;36300;36018;Le Blanc;46.6331;1.06403;130007842;8412Z;AGENCE REGIONALE DE SANTE DU CENTRE-VAL DE LOIRE;131;RUE DU FAUBOURG BANNIER;45000;45234;ORLEANS;53;18192;2021-11-15 09:37:53.502182;;8h00-12h00/13h00-17h00;8h-12h /13h00-17h00;8h-12h/13h00-17h00;8h-12h/13h00-17h00;8h-12h/13h00-17h00;fermé;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/le-blanc/centre-vaccination-covid-19-le-blanc-et-meziere-en-brenne?pid=practice-165262&enable_cookies_consent=1;;;;;;f;;"{""Dispositif aller vers ...""}"
1244;Centre de Vaccination - EVRON-;;0.99999996530795;53097_1500_00013;Gymnase municipal;Boulevard Henri Rossignol;53600;;Évron;48.1524;-0.403651;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;10695;24877;2021-11-18 13:57:54.336954;;fermé;9h-13h / 14-17h30;9h-13h / 14-17h30;9h-13h / 14-17h30;fermé;fermé;fermé;t;;2021-01-26;https://partners.doctolib.fr/etablissement-de-prevention/mayenne/centres-de-vaccination-de-la-mayenne-mayenne?pid=practice-165417&enable_cookies_consent=1;+33243535300;;;t;;f;;
1005;CH René Muret AP HP (Sevran);;0.9999997956264;93071_0465_00001;1;Avenue du Docteur Schaffner;93270;93071;Sevran;48.9362;2.5106;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18279;20829;2021-11-09 17:29:03.119123;;9h30-12h;9h30-12h;9h30-12h;9h30-12h;9h30-12h;fermé;fermé;f;;2021-01-18;https://partners.doctolib.fr/vaccination-covid-19/sevran/centre-de-vaccination-rene-muret-ap-hp?pid=practice-31581&enable_cookies_consent=1;08 09 10 20 89;;;t;;f;f;
555;Centre vaccination MACON - Salle Le Pavillon;;0.9999999907799;71270_2840;5;Impasse de l'Heritan;71000;71270;Mâcon;46.307;4.82902;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;18195;24502;2021-11-10 09:34:04.748317;oui;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/macon/centre-de-vaccination-de-macon?speciality_id=5494&enable_cookies_consent=1;+33800009110;;;;;f;;
619;Salle polyvalente Cuiry de Gien;;0.99998907124035;45155_0553_00002;32;Rue Georges Brassens;45500;45155;Gien;47.7084;2.62321;130007842;8412Z;AGENCE REGIONALE DE SANTE DU CENTRE-VAL DE LOIRE;131;RUE DU FAUBOURG BANNIER;45000;45234;ORLEANS;53;20001;2021-11-10 16:28:34.109612;;14h-18h;9h-13h/14h-18h;9h-13h/14h-18h;9h-13h/14h-18h;9h-13h/14h-18h;fermé;fermé;f;;2021-01-18;https://partners.doctolib.fr/centre-de-vaccinations-internationales/gien/centre-de-vaccination-de-gien?speciality_id=5494&enable_cookies_consent=1;+33 800 009 110;;;f;;f;;"{""Grand centre""}"
2000;Centre de Vaccination d'Arette;;0.99999999789061;64040_0205_00002;2;Place de la Mairie;64570;64040;Arette;43.0952;-0.716466;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;18109;18111;2021-07-06 20:00:01.560596;Oui;fermé;fermé;09:00-13:00;09:00-13:00;09:00-13:00;fermé;fermé;t;2021-07-17;2021-03-17;https://partners.doctolib.fr/vaccination-covid-19/arette/centre-de-vaccination-covid-19-arette?pid=practice-176246&enable_cookies_consent=1;;;;t;f;f;f;
1225;Centre de vaccination UGECAM d'Illkirch-Graffenstaden ;;0.99999892955108;67218_0013_00001;10;Avenue Achille Baumann;67400;67218;Illkirch-Graffenstaden;48.5379;7.72465;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13943;22327;2021-09-28 09:50:52.724567;;09:00-18:00;fermé;09:00-18:00;fermé;fermé;09:00-13:00;fermé;t;;2021-01-25;https://partners.doctolib.fr/centre-de-sante/illkirch-graffenstaden/centre-de-vaccination-covid-d-illkirch?speciality_id=5494&enable_cookies_consent=1;+33388668000;;;;;f;;
209;Centre de vaccination Sélestat -Les Tanzmatten ;;0.99999989102644;67462_0730_00013;13;Rue Franz Schubert;67600;67462;Sélestat;48.2626;7.43724;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13532;22327;2021-09-28 10:06:45.17053;;Campagne scolaire;Campagne scolaire;9:00-12:00/14:00-17:00;9:00-12:00/14:00-17:00;9:00-12:00/14:00-17:00;9:00-12:00/14:00-17:00;fermé;f;;2021-03-01;https://partners.doctolib.fr/centre-de-vaccinations-internationales/selestat/centre-de-vaccination-covid-19-ville-de-selestat?speciality_id=5494&enable_cookies_consent=1;09 70 81 81 61;;;;;f;;"{""Grand centre"",""Campagne scolaire"",""Dispositif aller vers ..."",""Equipe mobile""}"
2496;Centre de Vaccination - REZE - Trocardière;;0.99999916355713;44143_3592_00091;;Rue de la Trocardière;44400;44143;Rezé;47.1799;-1.57102;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;10695;22786;2021-09-13 09:03:20.225846;;9h / 17h30;9h / 17h30;9h / 17h30;9h / 17h30;9h / 17h30;fermé;fermé;t;2021-07-31;2021-04-27;https://partners.doctolib.fr/vaccination-covid-19/trocardiere/vaccination-covid-19-treillieres-sdis-44?pid=practice-184335&enable_cookies_consent=1;+33806000344;;;;;f;f;"{""Sécurité Civile""}"
2951;Centre de vaccination de Fontoy - Mairie;;0.9999999992717;57226_0420_00007;7;Rue de Metz;57650;57226;Fontoy;49.3566;5.99919;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;JOFFRE BD;54000;54395;NANCY;14476;14476;2021-09-29 20:00:01.693857;;fermé;fermé;fermé;fermé;9h-12h / 14h-18h;9h-12h / 14h-18h;fermé;;;2021-09-10;https://partners.doctolib.fr/vaccination-covid-19/fontoy/centre-de-vaccination-covid-19-ville-de-fontoy?pid=practice-204964&enable_cookies_consent=1;+33800009110;;;;;f;f;
2235;Grand centre 70;;0.99999996672597;70550_1070_00003;3;Gymnase Lasalle, Place René Hologne;70000;70550;Vesoul;47.6211;6.15102;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;82;18201;2021-10-04 10:16:21.717264;oui;8h00-18h00;fermé;fermé;8h00-18h00;8h00-18h00;8h00-18h00;8h00-18h00;t;2021-08-28;2021-04-30;https://partners.doctolib.fr/centre-de-sante/vesoul/centre-de-vaccination-covid-19-grand-centre-70?pid=practice-183959&enable_cookies_consent=1;+33384756475;;grand centre;t;f;t;f;"{""Grand centre"",""Sécurité Civile""}"
