fra;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
FR;2020-12-27;449;51;0;449;51;0;0.0;0.0;0.0
FR;2020-12-28;474;38;0;923;89;0;0.0;0.0;0.0
FR;2020-12-29;299;16;0;1222;105;0;0.0;0.0;0.0
FR;2020-12-30;352;15;0;1574;120;0;0.0;0.0;0.0
FR;2020-12-31;284;19;0;1858;139;0;0.0;0.0;0.0
FR;2021-01-01;329;35;0;2187;174;0;0.0;0.0;0.0
FR;2021-01-02;263;29;0;2450;203;0;0.0;0.0;0.0
FR;2021-01-03;291;28;0;2741;231;0;0.0;0.0;0.0
FR;2021-01-04;1815;46;0;4556;277;0;0.0;0.0;0.0
FR;2021-01-05;5752;68;0;10308;345;0;0.0;0.0;0.0
FR;2021-01-06;11655;103;0;21963;448;0;0.0;0.0;0.0
FR;2021-01-07;29132;142;0;51095;590;0;0.1;0.0;0.0
FR;2021-01-08;36785;192;0;87880;782;0;0.2;0.0;0.0
FR;2021-01-09;11117;72;0;98997;854;0;0.2;0.0;0.0
FR;2021-01-10;5789;23;0;104786;877;0;0.2;0.0;0.0
FR;2021-01-11;39684;219;0;144470;1096;0;0.3;0.0;0.0
FR;2021-01-12;61767;312;0;206237;1408;0;0.4;0.0;0.0
FR;2021-01-13;64698;418;0;270935;1826;0;0.5;0.0;0.0
FR;2021-01-14;82298;1190;0;353233;3016;0;0.6;0.0;0.0
FR;2021-01-15;68616;580;0;421849;3596;0;0.7;0.0;0.0
FR;2021-01-16;20056;203;0;441905;3799;0;0.8;0.0;0.0
FR;2021-01-17;10868;130;0;452773;3929;0;0.8;0.0;0.0
FR;2021-01-18;85505;609;0;538278;4538;0;0.9;0.0;0.0
FR;2021-01-19;130227;848;0;668505;5386;0;1.2;0.0;0.0
FR;2021-01-20;137171;875;0;805676;6261;0;1.4;0.0;0.0
FR;2021-01-21;157782;974;0;963458;7235;0;1.7;0.0;0.0
FR;2021-01-22;120572;799;0;1084030;8034;0;1.9;0.0;0.0
FR;2021-01-23;38304;197;0;1122334;8231;0;1.9;0.0;0.0
FR;2021-01-24;9641;88;0;1131975;8319;0;2.0;0.0;0.0
FR;2021-01-25;77840;1523;0;1209815;9842;0;2.1;0.0;0.0
FR;2021-01-26;100051;3572;0;1309866;13414;0;2.3;0.0;0.0
FR;2021-01-27;106942;6295;0;1416808;19709;0;2.5;0.0;0.0
FR;2021-01-28;123979;15079;0;1540787;34788;0;2.7;0.1;0.0
FR;2021-01-29;91845;17692;0;1632632;52480;0;2.8;0.1;0.0
FR;2021-01-30;28971;4281;0;1661603;56761;0;2.9;0.1;0.0
FR;2021-01-31;5127;1692;0;1666730;58453;0;2.9;0.1;0.0
FR;2021-02-01;52371;21186;0;1719101;79639;0;3.0;0.1;0.0
FR;2021-02-02;71837;34792;0;1790938;114431;0;3.1;0.2;0.0
FR;2021-02-03;71958;37160;0;1862896;151591;0;3.2;0.3;0.0
FR;2021-02-04;81596;50301;0;1944492;201892;0;3.4;0.4;0.0
FR;2021-02-05;67911;45380;0;2012403;247272;0;3.5;0.4;0.0
FR;2021-02-06;22422;10517;0;2034825;257789;0;3.5;0.4;0.0
FR;2021-02-07;5068;5112;0;2039893;262901;0;3.5;0.5;0.0
FR;2021-02-08;46478;46003;0;2086371;308904;0;3.6;0.5;0.0
FR;2021-02-09;65645;72901;0;2152016;381805;0;3.7;0.7;0.0
FR;2021-02-10;70395;77255;0;2222411;459060;0;3.9;0.8;0.0
FR;2021-02-11;86759;100069;0;2309170;559129;0;4.0;1.0;0.0
FR;2021-02-12;78725;75209;0;2387895;634338;0;4.1;1.1;0.0
FR;2021-02-13;22116;19592;0;2410011;653930;0;4.2;1.1;0.0
FR;2021-02-14;4878;7232;0;2414889;661162;0;4.2;1.1;0.0
FR;2021-02-15;37647;76501;0;2452536;737663;0;4.3;1.3;0.0
FR;2021-02-16;49895;100810;0;2502431;838473;0;4.3;1.5;0.0
FR;2021-02-17;50050;103083;0;2552481;941556;0;4.4;1.6;0.0
FR;2021-02-18;69169;119083;0;2621650;1060639;0;4.5;1.8;0.0
FR;2021-02-19;64653;91374;0;2686303;1152013;0;4.7;2.0;0.0
FR;2021-02-20;18333;28425;0;2704636;1180438;0;4.7;2.0;0.0
FR;2021-02-21;3143;6406;0;2707779;1186844;0;4.7;2.1;0.0
FR;2021-02-22;37104;73118;0;2744883;1259962;0;4.8;2.2;0.0
FR;2021-02-23;53352;84574;0;2798235;1344536;0;4.9;2.3;0.0
FR;2021-02-24;59383;81803;0;2857618;1426339;0;5.0;2.5;0.0
FR;2021-02-25;99984;93242;0;2957602;1519581;0;5.1;2.6;0.0
FR;2021-02-26;112866;73323;0;3070468;1592904;0;5.3;2.8;0.0
FR;2021-02-27;51779;22996;0;3122247;1615900;0;5.4;2.8;0.0
FR;2021-02-28;5998;4569;0;3128245;1620469;0;5.4;2.8;0.0
FR;2021-03-01;64830;54030;0;3193075;1674499;0;5.5;2.9;0.0
FR;2021-03-02;100632;68604;0;3293707;1743103;0;5.7;3.0;0.0
FR;2021-03-03;115499;68330;0;3409206;1811433;0;5.9;3.1;0.0
FR;2021-03-04;162684;73645;0;3571890;1885078;0;6.2;3.3;0.0
FR;2021-03-05;199894;69435;0;3771784;1954513;0;6.5;3.4;0.0
FR;2021-03-06;207217;22971;0;3979001;1977484;0;6.9;3.4;0.0
FR;2021-03-07;120799;8692;0;4099800;1986176;0;7.1;3.4;0.0
FR;2021-03-08;106363;53762;0;4206163;2039938;0;7.3;3.5;0.0
FR;2021-03-09;171608;61631;0;4377771;2101569;0;7.6;3.6;0.0
FR;2021-03-10;177781;62255;0;4555552;2163824;0;7.9;3.8;0.0
FR;2021-03-11;241749;70569;0;4797301;2234393;0;8.3;3.9;0.0
FR;2021-03-12;293697;62438;0;5090998;2296831;0;8.8;4.0;0.0
FR;2021-03-13;230518;21106;0;5321516;2317937;0;9.2;4.0;0.0
FR;2021-03-14;62933;5444;0;5384449;2323381;0;9.3;4.0;0.0
FR;2021-03-15;157636;36943;0;5542085;2360324;0;9.6;4.1;0.0
FR;2021-03-16;140785;43221;0;5682870;2403545;0;9.9;4.2;0.0
FR;2021-03-17;149676;43085;0;5832546;2446630;0;10.1;4.2;0.0
FR;2021-03-18;166908;49625;0;5999454;2496255;0;10.4;4.3;0.0
FR;2021-03-19;229052;44341;0;6228506;2540596;0;10.8;4.4;0.0
FR;2021-03-20;166000;16285;0;6394506;2556881;0;11.1;4.4;0.0
FR;2021-03-21;49475;4344;0;6443981;2561225;0;11.2;4.4;0.0
FR;2021-03-22;169038;39440;0;6613019;2600665;0;11.5;4.5;0.0
FR;2021-03-23;249211;49687;0;6862230;2650352;0;11.9;4.6;0.0
FR;2021-03-24;255741;51252;0;7117971;2701604;0;12.3;4.7;0.0
FR;2021-03-25;340651;55248;0;7458622;2756852;0;12.9;4.8;0.0
FR;2021-03-26;357706;53099;0;7816328;2809951;0;13.6;4.9;0.0
FR;2021-03-27;194594;22972;0;8010922;2832923;0;13.9;4.9;0.0
FR;2021-03-28;58966;5737;0;8069888;2838660;0;14.0;4.9;0.0
FR;2021-03-29;202140;60527;0;8272028;2899187;0;14.3;5.0;0.0
FR;2021-03-30;284234;79359;0;8556262;2978546;0;14.8;5.2;0.0
FR;2021-03-31;261840;82918;0;8818102;3061464;0;15.3;5.3;0.0
FR;2021-04-01;313340;100652;0;9131442;3162116;0;15.8;5.5;0.0
FR;2021-04-02;280123;103142;0;9411565;3265258;0;16.3;5.7;0.0
FR;2021-04-03;140262;66686;0;9551827;3331944;0;16.6;5.8;0.0
FR;2021-04-04;45444;20589;0;9597271;3352533;0;16.6;5.8;0.0
FR;2021-04-05;59789;13550;0;9657060;3366083;0;16.7;5.8;0.0
FR;2021-04-06;215706;115802;0;9872766;3481885;0;17.1;6.0;0.0
FR;2021-04-07;258509;125842;0;10131275;3607727;0;17.6;6.3;0.0
FR;2021-04-08;335895;135973;0;10467170;3743700;0;18.1;6.5;0.0
FR;2021-04-09;408345;133104;0;10875515;3876804;0;18.9;6.7;0.0
FR;2021-04-10;211649;90691;0;11087164;3967495;0;19.2;6.9;0.0
FR;2021-04-11;55586;36977;0;11142750;4004472;0;19.3;6.9;0.0
FR;2021-04-12;235630;124033;0;11378380;4128505;0;19.7;7.2;0.0
FR;2021-04-13;307840;156915;0;11686220;4285420;0;20.3;7.4;0.0
FR;2021-04-14;292325;151925;0;11978545;4437345;0;20.8;7.7;0.0
FR;2021-04-15;334629;162557;0;12313174;4599902;0;21.4;8.0;0.0
FR;2021-04-16;337764;159651;0;12650938;4759553;0;21.9;8.3;0.0
FR;2021-04-17;187753;97499;0;12838691;4857052;0;22.3;8.4;0.0
FR;2021-04-18;51040;37735;0;12889731;4894787;0;22.4;8.5;0.0
FR;2021-04-19;204217;146891;0;13093948;5041678;0;22.7;8.7;0.0
FR;2021-04-20;252513;181717;0;13346461;5223395;0;23.1;9.1;0.0
FR;2021-04-21;251366;180198;0;13597827;5403593;0;23.6;9.4;0.0
FR;2021-04-22;285715;202276;0;13883542;5605869;0;24.1;9.7;0.0
FR;2021-04-23;295596;201027;0;14179138;5806896;0;24.6;10.1;0.0
FR;2021-04-24;189352;121674;0;14368490;5928570;0;24.9;10.3;0.0
FR;2021-04-25;68946;42465;0;14437436;5971035;0;25.0;10.4;0.0
FR;2021-04-26;219566;168817;0;14657002;6139852;0;25.4;10.6;0.0
FR;2021-04-27;282819;210345;0;14939821;6350197;0;25.9;11.0;0.0
FR;2021-04-28;297815;208199;1;15237636;6558396;1;26.4;11.4;0.0
FR;2021-04-29;355117;231003;0;15592753;6789399;1;27.0;11.8;0.0
FR;2021-04-30;370326;223946;1;15963079;7013345;2;27.7;12.2;0.0
FR;2021-05-01;165169;63621;0;16128248;7076966;2;28.0;12.3;0.0
FR;2021-05-02;90802;43413;0;16219050;7120379;2;28.1;12.3;0.0
FR;2021-05-03;285962;189698;0;16505012;7310077;2;28.6;12.7;0.0
FR;2021-05-04;312697;250096;0;16817709;7560173;2;29.2;13.1;0.0
FR;2021-05-05;323130;249192;0;17140839;7809365;2;29.7;13.5;0.0
FR;2021-05-06;376016;273194;0;17516855;8082559;2;30.4;14.0;0.0
FR;2021-05-07;370053;297830;0;17886908;8380389;2;31.0;14.5;0.0
FR;2021-05-08;220682;81895;0;18107590;8462284;2;31.4;14.7;0.0
FR;2021-05-09;128893;55261;0;18236483;8517545;2;31.6;14.8;0.0
FR;2021-05-10;308956;254302;0;18545439;8771847;2;32.2;15.2;0.0
FR;2021-05-11;400750;296165;0;18946189;9068012;2;32.9;15.7;0.0
FR;2021-05-12;430324;269099;0;19376513;9337111;2;33.6;16.2;0.0
FR;2021-05-13;335650;78201;0;19712163;9415312;2;34.2;16.3;0.0
FR;2021-05-14;450577;202785;0;20162740;9618097;2;35.0;16.7;0.0
FR;2021-05-15;371611;120140;0;20534351;9738237;2;35.6;16.9;0.0
FR;2021-05-16;201425;34114;0;20735776;9772351;2;36.0;16.9;0.0
FR;2021-05-17;373236;178847;0;21109012;9951198;2;36.6;17.3;0.0
FR;2021-05-18;455994;192357;0;21565006;10143555;2;37.4;17.6;0.0
FR;2021-05-19;464193;182832;0;22029199;10326387;2;38.2;17.9;0.0
FR;2021-05-20;503670;204398;0;22532869;10530785;2;39.1;18.3;0.0
FR;2021-05-21;486270;220978;0;23019139;10751763;2;39.9;18.6;0.0
FR;2021-05-22;345123;108067;0;23364262;10859830;2;40.5;18.8;0.0
FR;2021-05-23;160676;26879;0;23524938;10886709;2;40.8;18.9;0.0
FR;2021-05-24;261355;53003;0;23786293;10939712;2;41.2;19.0;0.0
FR;2021-05-25;397010;225927;0;24183303;11165639;2;41.9;19.4;0.0
FR;2021-05-26;410405;226322;0;24593708;11391961;2;42.6;19.8;0.0
FR;2021-05-27;446661;265781;0;25040369;11657742;2;43.4;20.2;0.0
FR;2021-05-28;426697;317403;0;25467066;11975145;2;44.2;20.8;0.0
